Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.956140350877193,0.9464461185718964,0.975,0.9069767441860465,0.9397590361445783,0.9068106119605033
Decision Tree,0.9385964912280702,0.9369472649852603,0.9090909090909091,0.9302325581395349,0.9195402298850575,0.8700557165994895
KNN,0.956140350877193,0.9418604651162791,1.0,0.8837209302325582,0.9382716049382716,0.9086150974691304
Naive Bayes,0.9736842105263158,0.9651162790697674,1.0,0.9302325581395349,0.963855421686747,0.9447329926514414
Random Forest,0.9649122807017544,0.9580740255486406,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9252853920667758
